AddressName,Latitude,Longitude,GridRow,GridColumn
Joe Jr Resturant-Third Ave & E 16th St,40.73459748,-73.98620154,7,1
Gramercy Kitchen-Third Ave & E 17th St,40.7351702,-73.98577451,7,2
5 Sense Deli-Third Ave & E 18th St,40.73574757,-73.98535336,7,3
Taqueria Gramercy-Third Ave & E 19th St,40.73635994,-73.98496069,7,4
Warshaw Hardware-Third Ave & E 20th St,40.73697045,-73.9845197,7,5
Cleo Spa and Salon-Third Ave & E 21st St,40.73750682,-73.98409265,7,6
Vintage Thrift-Third Ave & E 22nd St,40.73815228,-73.9836416,7,7
All in One Smoke Shop-Third Ave & E 23th St,40.73881592,-73.98316656,7,8
Classic Barbershop 3 NYC-Third Ave & E 24th St,40.73946138,-73.9826915,7,9
EVPassport-Third Ave & E 25th St,40.74007048,-73.98219245,7,10
Manhattan Comprehensive Night & Day High School-Second Ave & E 15th St,40.73302465,-73.98442902,8,0
Stuyvesant Square-Second Ave & E 16th St,40.73365193,-73.984002,8,1
NYU Langone Orthopedic Hospital-Second Ave & E 17th St,40.73422465,-73.98357498,8,2
NYC Thin Crust Pizza-Second Ave & E 18th St,40.73483375,-73.98314795,8,3
Gotham Animal Clinic-Second Ave & E 19th St,40.73540647,-73.98272091,8,4
Wholesome Organic Gourmet Market-Second Ave & E 20th St,40.73596102,-73.98226988,8,5
Citizen of Gramercy-Second Ave & E 21st St,40.7365883,-73.98184284,8,6
Club Pilates-Second Ave & E 22nd St,40.7371792,-73.98141579,8,7
Morton Williams Supermarkets-Second Ave & E 23th St,40.73784284,-73.98089276,8,8
Roma Pizza-Second Ave & E 24th St,40.73850648,-73.98041772,8,9
Empire Gourmet Deli-Second Ave & E 25th St,40.73917012,-73.97999066,8,10
Bread Story-First Ave & E 15th St,40.73203692,-73.98208838,9,0
Four Seasons Bodywork Center-First Ave & E 16th St,40.73266065,-73.98163221,9,1
Trek Bicycle-First Ave & E 17th St,40.73322781,-73.98118149,9,2
Verizon-First Ave & E 18th St,40.73380053,-73.98073047,9,3
Gracefully-First Ave & E 19th St,40.73442781,-73.98032744,9,4
Crystal Laundromat-First Ave & E 20th St,40.73500053,-73.9799244,9,5
Tel Bagels-First Ave & E 21th St,40.73559144,-73.97949737,9,6
Sona Nails-First Ave & E 22th St,40.73621872,-73.97904633,9,7
Chase Bank-First Ave & E 23th St,40.73684598,-73.9785713,9,8
Bluestone Center For Clinic-First Ave & E 24th St,40.73756416,-73.97807227,9,9
NYU Rory Mayers College of Nursing-First Ave & E 25th St,40.73813688,-73.97757323,9,10
